timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681032677335,172,Przyprawy-0,301,Moved Permanently,Stress test 1-40,text,true,,1485,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,172,0,68
1681032677508,121,Przyprawy-1,200,OK,Stress test 1-40,text,true,,267571,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,83,0,25
1681032678278,289,Przyprawy,200,OK,Stress test 1-43,text,true,,269052,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,167,0,65
1681032678278,167,Przyprawy-0,301,Moved Permanently,Stress test 1-43,text,true,,1480,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,167,0,65
1681032678446,121,Przyprawy-1,200,OK,Stress test 1-43,text,true,,267572,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,83,0,22
1681032678501,392,Przyprawy,200,OK,Stress test 1-44,text,true,,269036,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,277,0,171
1681032678501,277,Przyprawy-0,301,Moved Permanently,Stress test 1-44,text,true,,1476,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,277,0,171
1681032678778,115,Przyprawy-1,200,OK,Stress test 1-44,text,true,,267560,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,74,0,21
1681032680684,289,Przyprawy,200,OK,Stress test 1-45,text,true,,269058,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,166,0,66
1681032680684,166,Przyprawy-0,301,Moved Permanently,Stress test 1-45,text,true,,1476,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,166,0,66
1681032680850,123,Przyprawy-1,200,OK,Stress test 1-45,text,true,,267582,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,83,0,25
1681032681976,306,Przyprawy,200,OK,Stress test 1-42,text,true,,269067,418,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,175,0,68
1681032681976,175,Przyprawy-0,301,Moved Permanently,Stress test 1-42,text,true,,1486,211,31,31,http://www.policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,175,0,68
1681032682151,131,Przyprawy-1,200,OK,Stress test 1-42,text,true,,267581,207,31,31,https://policzona-szama.pl/collections/przyprawy/products/zestaw-4-mieszanek-przypraw-policzona-szama-4-x-150-g,92,0,27
1681032682697,222,WOK,200,OK,Stress test 1-1,text,true,,295007,390,31,31,https://policzona-szama.pl/collections/patelnie/products/wok-ze-stali-weglowej-recznie-kuty-32-cm,118,0,0
1681032682697,118,WOK-0,301,Moved Permanently,Stress test 1-1,text,true,,1472,197,31,31,http://www.policzona-szama.pl/collections/patelnie/products/wok-ze-stali-weglowej-recznie-kuty-32-cm,118,0,0
